Manufacturer,Family,S-Spec number,Speed,Bus speed,L2 cache size,Package type,Part number,Alternative part number 1,Alternative part number 2,Alternative part number 3,Alternative part number 4,Alternative part number 5,Alternative part number 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5
Intel,Pentium III,QW39,933MHz,133MHz,256KiB, ,80526PZ933256,,,,,,,http://www.cpu-world.com/sspec/QW/QW39.html,,,,
Intel,Pentium III,QX93,1000MHz,133MHz,256KiB,370-pin FC-PGA2,RB80526PZ001256,,,,,,,http://www.cpu-world.com/sspec/QX/QX93.html,,,,
Intel,Pentium III,QX95,800MHz,100MHz,256KiB,SECC2,80526PY800256,,,,,,,http://www.cpu-world.com/sspec/QX/QX95.html,,,,
Intel,Pentium III,QX97,850MHz,100MHz,256KiB,SECC2,80526PY850256,,,,,,,http://www.cpu-world.com/sspec/QX/QX97.html,,,,
Intel,Pentium III,QX98,866MHz,133MHz,256KiB,SECC2,80526PZ866256,,,,,,,http://www.cpu-world.com/sspec/QX/QX98.html,,,,
Intel,Pentium III,QX99,933MHz,133MHz,256KiB,SECC2,80526PZ933256,,,,,,,http://www.cpu-world.com/sspec/QX/QX99.html,,,,
Intel,Pentium III,QY02,1000MHz,133MHz,256KiB,SECC2,80526PZ1000256,,,,,,,http://www.cpu-world.com/sspec/QY/QY02.html,,,,
Intel,Pentium III,QYQ2,1000MHz,133MHz,256KiB,SECC2,80526PZ1000256,,,,,,,http://www.cpu-world.com/sspec/QY/QYQ2.html,,,,
Intel,Pentium III,SL35D,450MHz,100MHz,512KiB,SECC2,80525PY450512,BX80525U450512,,,,,,http://www.cpu-world.com/sspec/SL/SL35D.html,,,,
Intel,Pentium III,SL35E,500MHz,100MHz,512KiB,SECC2,80525PY500512,,,,,,,http://www.cpu-world.com/sspec/SL/SL35E.html,,,,
Intel,Pentium III,SL364,450MHz,100MHz,512KiB,SECC2,80525PY450512,,,,,,,http://www.cpu-world.com/sspec/SL/SL364.html,,,,
Intel,Pentium III,SL365,500MHz,100MHz,512KiB,SECC2,80525PY500512,,,,,,,http://www.cpu-world.com/sspec/SL/SL365.html,,,,
Intel,Pentium III,SL37C,450MHz,100MHz,512KiB,SECC2,BX80525U450512E,,,,,,,http://www.cpu-world.com/sspec/SL/SL37C.html,,,,
Intel,Pentium III,SL37D,500MHz,100MHz,512KiB,SECC2,BX80525U500512,,,,,,,http://www.cpu-world.com/sspec/SL/SL37D.html,,,,
Intel,Pentium III,SL38E,450MHz,100MHz,512KiB,SECC,80525PY450512,,,,,,,http://www.cpu-world.com/sspec/SL/SL38E.html,,,,
Intel,Pentium III,SL38F,500MHz,100MHz,512KiB,SECC,80525PY500512,,,,,,,http://www.cpu-world.com/sspec/SL/SL38F.html,,,,
Intel,Pentium III,SL3BN,533MHz,133MHz,512KiB,SECC2,BX80525U533512,80525PZ533512,,,,,,http://www.cpu-world.com/sspec/SL/SL3BN.html,,,,
Intel,Pentium III,SL3CC,450MHz,100MHz,512KiB,SECC2,BX80525U450512E,,,,,,,http://www.cpu-world.com/sspec/SL/SL3CC.html,,,,
Intel,Pentium III,SL3CD,500MHz,100MHz,512KiB,SECC2,BX80525U500512,BX80525U500512E,,,,,,http://www.cpu-world.com/sspec/SL/SL3CD.html,,,,
Intel,Pentium III,SL3E9,533MHz,133MHz,512KiB,SECC2,BX80525U533512E,,,,,,,http://www.cpu-world.com/sspec/SL/SL3E9.html,,,,
Intel,Pentium III,SL3F7,550MHz,100MHz,512KiB,SECC2,80525PY550512,,,,,,,http://www.cpu-world.com/sspec/SL/SL3F7.html,,,,
Intel,Pentium III,SL3FJ,550MHz,100MHz,512KiB,SECC2,BX80525U550512,,,,,,,http://www.cpu-world.com/sspec/SL/SL3FJ.html,,,,
Intel,Pentium III,SL3H6,600MHz,100MHz,256KiB,SECC2,BX80526PY600256,80526PY600256,,,,,,http://www.cpu-world.com/sspec/SL/SL3H6.html,,,,
Intel,Pentium III,SL3H7,600MHz,133MHz,256KiB,SECC2,BX80526U600256,KC80526PZ600256,80526PZ600256,,,,,http://www.cpu-world.com/sspec/SL/SL3H7.html,,,,
Intel,Pentium III,SL3JM,600MHz,100MHz,512KiB,SECC2,BX80525U600512,80525PY600512,,,,,,http://www.cpu-world.com/sspec/SL/SL3JM.html,,,,
Intel,Pentium III,SL3JP,600MHz,133MHz,512KiB,SECC2,BX80525H600512,80525PZ600512,,,,,,http://www.cpu-world.com/sspec/SL/SL3JP.html,,,,
Intel,Pentium III,SL3JT,600MHz,100MHz,512KiB,SECC2,BX80525U600512,,,,,,,http://www.cpu-world.com/sspec/SL/SL3JT.html,,,,
Intel,Pentium III,SL3JU,600MHz,133MHz,512KiB,SECC2,BX80525H600512E,BX80525H600512,,,,,,http://www.cpu-world.com/sspec/SL/SL3JU.html,,,,
Intel,Pentium III,SL3KV,650MHz,100MHz,256KiB,SECC2,BX80526PY650256,80526PY650256,,,,,,http://www.cpu-world.com/sspec/SL/SL3KV.html,,,,
Intel,Pentium III,SL3KW,667MHz,133MHz,256KiB,SECC2,BX80526U667256,KC80526PZ667256,80526PZ667256,,,,,http://www.cpu-world.com/sspec/SL/SL3KW.html,,,,
Intel,Pentium III,SL3N6,533MHz,133MHz,256KiB,SECC2,BX80526F533256,80526PZ533256,,,,,,http://www.cpu-world.com/sspec/SL/SL3N6.html,,,,
Intel,Pentium III,SL3N7,550MHz,100MHz,256KiB,SECC2,BX80526PY550256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3N7.html,,,,
Intel,Pentium III,SL3NA,600MHz,100MHz,256KiB,SECC2,BX80526H600256E,BX80526H600256,,,,,,http://www.cpu-world.com/sspec/SL/SL3NA.html,,,,
Intel,Pentium III,SL3NB,600MHz,133MHz,256KiB,SECC2,BX80526U600256E,BX80526U600256,,,,,,http://www.cpu-world.com/sspec/SL/SL3NB.html,,,,
Intel,Pentium III,SL3NC,650MHz,100MHz,256KiB,SECC2,BX80526U650256E,,,,,,,http://www.cpu-world.com/sspec/SL/SL3NC.html,,,,
Intel,Pentium III,SL3ND,667MHz,133MHz,256KiB,SECC2,BX80526U667256E,BX80526U667256,,,,,,http://www.cpu-world.com/sspec/SL/SL3ND.html,,,,
Intel,Pentium III,SL3NL,600MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY600256,BX80526F600256,BX80526F600256E,,,,,http://www.cpu-world.com/sspec/SL/SL3NL.html,,,,
Intel,Pentium III,SL3NM,650MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F650256,BX80526F650256E,,,,,,http://www.cpu-world.com/sspec/SL/SL3NM.html,,,,
Intel,Pentium III,SL3NR,650MHz,100MHz,256KiB,SECC2,BX80526U650256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3NR.html,,,,
Intel,Pentium III,SL3Q9,500MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY500256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3Q9.html,,,,
Intel,Pentium III,SL3QA,550MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY550256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3QA.html,,,,
Intel,Pentium III,SL3R2,500MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY500256,BX80526F500256,BX80526F500256E,,,,,http://www.cpu-world.com/sspec/SL/SL3R2.html,,,,
Intel,Pentium III,SL3R3,550MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY550256,BX80526F550256,BX80526F550256E,,,,,http://www.cpu-world.com/sspec/SL/SL3R3.html,,,,
Intel,Pentium III,SL3S9,700MHz,100MHz,256KiB,SECC2,80526PY700256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3S9.html,,,,
Intel,Pentium III,SL3SB,733MHz,133MHz,256KiB,SECC2,BX80526U733256,KC80526PZ733256,80526PZ733256,,,,,http://www.cpu-world.com/sspec/SL/SL3SB.html,,,,
Intel,Pentium III,SL3SX,533MHz,133MHz,256KiB,SECC2,BX80526U533256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3SX.html,,,,
Intel,Pentium III,SL3SY,700MHz,100MHz,256KiB,SECC2,BX80526U700256E,BX80526U700256,,,,,,http://www.cpu-world.com/sspec/SL/SL3SY.html,,,,
Intel,Pentium III,SL3SZ,733MHz,133MHz,256KiB,SECC2,BX80526U733256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3SZ.html,,,,
Intel,Pentium III,SL3T2,667MHz,133MHz,256KiB,370-pin FC-PGA,RB80526PZ667256,BX80526F667256,BX80526F667256E,,,,,http://www.cpu-world.com/sspec/SL/SL3T2.html,,,,
Intel,Pentium III,SL3T3,700MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY700256,BX80526F700256,BX80526F700256E,,,,,http://www.cpu-world.com/sspec/SL/SL3T3.html,,,,
Intel,Pentium III,SL3T4,733MHz,133MHz,256KiB,370-pin FC-PGA,BX80526F733256,BX80526F733256E,,,,,,http://www.cpu-world.com/sspec/SL/SL3T4.html,,,,
Intel,Pentium III,SL3US,500MHz,100MHz,256KiB,SECC2,80526PY500256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3US.html,,,,
Intel,Pentium III,SL3V5,550MHz,100MHz,256KiB,SECC2,BX80526U550256E,BX80526U550256,,,,,,http://www.cpu-world.com/sspec/SL/SL3V5.html,,,,
Intel,Pentium III,SL3V6,750MHz,100MHz,256KiB,SECC2,BX80526U750256E,BX80526U750256,,,,,,http://www.cpu-world.com/sspec/SL/SL3V6.html,,,,
Intel,Pentium III,SL3V7,800MHz,100MHz,256KiB,SECC2, ,,,,,,,http://www.cpu-world.com/sspec/SL/SL3V7.html,,,,
Intel,Pentium III,SL3V8,800MHz,133MHz,256KiB,SECC2,BX80526U800256E,BX80526U800256,,,,,,http://www.cpu-world.com/sspec/SL/SL3V8.html,,,,
Intel,Pentium III,SL3VA,533MHz,133MHz,256KiB,370-pin FC-PGA,BX80526F533256E,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VA.html,,,,
Intel,Pentium III,SL3VB,600MHz,133MHz,256KiB,370-pin FC-PGA,BX80526C600256,BX80526C600256E,RB80526PZ600256,,,,,http://www.cpu-world.com/sspec/SL/SL3VB.html,,,,
Intel,Pentium III,SL3VC,750MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F750256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VC.html,,,,
Intel,Pentium III,SL3VD,800MHz,100MHz,256KiB,370-pin FC-PGA, ,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VD.html,,,,
Intel,Pentium III,SL3VE,800MHz,133MHz,256KiB,370-pin FC-PGA,BX80526C800256E,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VE.html,,,,
Intel,Pentium III,SL3VF,533MHz,133MHz,256KiB,370-pin FC-PGA,RB80526PZ533256,BX80526F533256E,,,,,,http://www.cpu-world.com/sspec/SL/SL3VF.html,,,,
Intel,Pentium III,SL3VG,600MHz,133MHz,256KiB,370-pin FC-PGA,RB80526PZ600256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VG.html,,,,
Intel,Pentium III,SL3VH,600MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY600256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VH.html,,,,
Intel,Pentium III,SL3VJ,650MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY650256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VJ.html,,,,
Intel,Pentium III,SL3VK,667MHz,133MHz,256KiB,370-pin FC-PGA,RB80526PZ667256,BX80526F667256E,,,,,,http://www.cpu-world.com/sspec/SL/SL3VK.html,,,,
Intel,Pentium III,SL3VL,700MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F700256E,RB80526PY700256,,,,,,http://www.cpu-world.com/sspec/SL/SL3VL.html,,,,
Intel,Pentium III,SL3VM,733MHz,133MHz,256KiB,370-pin FC-PGA,RB80526PZ733256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VM.html,,,,
Intel,Pentium III,SL3VN,750MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY750256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3VN.html,,,,
Intel,Pentium III,SL3WA,800MHz,133MHz,256KiB,SECC2,KC80526PZ800256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3WA.html,,,,
Intel,Pentium III,SL3WB,800MHz,133MHz,256KiB,370-pin FC-PGA,RB80526PZ800256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3WB.html,,,,
Intel,Pentium III,SL3WC,750MHz,100MHz,256KiB,SECC2,BX80526U750256,KC80526PY750256,,,,,,http://www.cpu-world.com/sspec/SL/SL3WC.html,,,,
Intel,Pentium III,SL3X4,800MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY800256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3X4.html,,,,
Intel,Pentium III,SL3XG,533MHz,133MHz,256KiB,SECC2,80526PZ533256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3XG.html,,,,
Intel,Pentium III,SL3XH,550MHz,100MHz,256KiB,SECC2,BX80526PY550256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3XH.html,,,,
Intel,Pentium III,SL3XJ,600MHz,133MHz,256KiB,SECC2,BX80526U600256,KC80526PZ600256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XJ.html,,,,
Intel,Pentium III,SL3XK,650MHz,100MHz,256KiB,SECC2,BX80526PY650256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3XK.html,,,,
Intel,Pentium III,SL3XL,667MHz,133MHz,256KiB,SECC2,BX80526U667256,KC80526PZ667256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XL.html,,,,
Intel,Pentium III,SL3XM,700MHz,100MHz,256KiB,SECC2,BX80526U700256,KC80526PY700256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XM.html,,,,
Intel,Pentium III,SL3XN,733MHz,133MHz,256KiB,SECC2,BX80526U733256,80526PZ733256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XN.html,,,,
Intel,Pentium III,SL3XP,750MHz,100MHz,256KiB,SECC2,BX80526U750256,KC80526PY750256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XP.html,,,,
Intel,Pentium III,SL3XQ,800MHz,133MHz,256KiB,SECC2,KC80526PZ800256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3XQ.html,,,,
Intel,Pentium III,SL3XR,800MHz,100MHz,256KiB,SECC2,BX80526H800256,KC80526PY800256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XR.html,,,,
Intel,Pentium III,SL3XS,533MHz,133MHz,256KiB,370-pin FC-PGA,RB80526PZ533256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3XS.html,,,,
Intel,Pentium III,SL3XT,600MHz,133MHz,256KiB,370-pin FC-PGA,BX80526C600256E,RB80526PZ600256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XT.html,,,,
Intel,Pentium III,SL3XU,600MHz,100MHz,256KiB,370-pin FC-PGA,RB80526PY600256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3XU.html,,,,
Intel,Pentium III,SL3XV,650MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F650256,RB80526PY650256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XV.html,,,,
Intel,Pentium III,SL3XW,667MHz,133MHz,256KiB,370-pin FC-PGA,BX80526F667256,RB80526PZ667256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XW.html,,,,
Intel,Pentium III,SL3XX,700MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F700256E,RB80526PY700256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XX.html,,,,
Intel,Pentium III,SL3XY,733MHz,133MHz,256KiB,370-pin FC-PGA,BX80526F733256,RB80526PZ733256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XY.html,,,,
Intel,Pentium III,SL3XZ,750MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F750256E,RB80526PY750256,,,,,,http://www.cpu-world.com/sspec/SL/SL3XZ.html,,,,
Intel,Pentium III,SL3Y2,800MHz,133MHz,256KiB,370-pin FC-PGA,RB80526PZ800256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3Y2.html,,,,
Intel,Pentium III,SL3Y3,800MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F800256E,RB80526PY800256,,,,,,http://www.cpu-world.com/sspec/SL/SL3Y3.html,,,,
Intel,Pentium III,SL3Z6,800MHz,100MHz,256KiB,SECC2,80526PY800256,,,,,,,http://www.cpu-world.com/sspec/SL/SL3Z6.html,,,,
Intel,Pentium III,SL43E,600MHz,100MHz,256KiB,SECC2,BX80526PY600256,,,,,,,http://www.cpu-world.com/sspec/SL/SL43E.html,,,,
Intel,Pentium III,SL43F,850MHz,100MHz,256KiB,SECC2,BX80526U850256,KC80526PY850256,,,,,,http://www.cpu-world.com/sspec/SL/SL43F.html,,,,
Intel,Pentium III,SL43G,866MHz,133MHz,256KiB,SECC2,KC80526PZ866256,,,,,,,http://www.cpu-world.com/sspec/SL/SL43G.html,,,,
Intel,Pentium III,SL43H,850MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F850256E,RB80526PY850256,,,,,,http://www.cpu-world.com/sspec/SL/SL43H.html,,,,
Intel,Pentium III,SL43J,866MHz,133MHz,256KiB,370-pin FC-PGA,BX80526C866256E,RB80526PZ866256,,,,,,http://www.cpu-world.com/sspec/SL/SL43J.html,,,,
Intel,Pentium III,SL444,500MHz,100MHz,256KiB,370-pin FC-PGA, ,,,,,,,http://www.cpu-world.com/sspec/SL/SL444.html,,,,
Intel,Pentium III,SL446,500MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F500256,RB80526PY500256,,,,,,http://www.cpu-world.com/sspec/SL/SL446.html,,,,
Intel,Pentium III,SL448,933MHz,133MHz,256KiB,SECC2,BX80526U933256,KC80526PZ933256,,,,,,http://www.cpu-world.com/sspec/SL/SL448.html,,,,
Intel,Pentium III,SL44G,550MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F550256,RB80526PY550256,,,,,,http://www.cpu-world.com/sspec/SL/SL44G.html,,,,
Intel,Pentium III,SL44J,933MHz,133MHz,256KiB,370-pin FC-PGA,BX80526C933256E,RB80526PZ933256,,,,,,http://www.cpu-world.com/sspec/SL/SL44J.html,,,,
Intel,Pentium III,SL44W,533MHz,133MHz,256KiB,SECC2,BX80526U533256,,,,,,,http://www.cpu-world.com/sspec/SL/SL44W.html,,,,
Intel,Pentium III,SL44X,550MHz,100MHz,256KiB,SECC2,BX80526U550256,,,,,,,http://www.cpu-world.com/sspec/SL/SL44X.html,,,,
Intel,Pentium III,SL44Y,600MHz,100MHz,256KiB,SECC2,BX80526H600256,,,,,,,http://www.cpu-world.com/sspec/SL/SL44Y.html,,,,
Intel,Pentium III,SL44Z,600MHz,133MHz,256KiB,SECC2,BX80526U600256,,,,,,,http://www.cpu-world.com/sspec/SL/SL44Z.html,,,,
Intel,Pentium III,SL452,650MHz,100MHz,256KiB,SECC2,BX80526U650256,,,,,,,http://www.cpu-world.com/sspec/SL/SL452.html,,,,
Intel,Pentium III,SL453,667MHz,133MHz,256KiB,SECC2,BX80526U667256,,,,,,,http://www.cpu-world.com/sspec/SL/SL453.html,,,,
Intel,Pentium III,SL454,700MHz,100MHz,256KiB,SECC2,BX80526U700256,,,,,,,http://www.cpu-world.com/sspec/SL/SL454.html,,,,
Intel,Pentium III,SL455,733MHz,133MHz,256KiB,SECC2,BX80526U733256E,,,,,,,http://www.cpu-world.com/sspec/SL/SL455.html,,,,
Intel,Pentium III,SL456,750MHz,100MHz,256KiB,SECC2,BX80526U750256E,,,,,,,http://www.cpu-world.com/sspec/SL/SL456.html,,,,
Intel,Pentium III,SL457,800MHz,100MHz,256KiB,SECC2,BX80526H800256E,,,,,,,http://www.cpu-world.com/sspec/SL/SL457.html,,,,
Intel,Pentium III,SL458,800MHz,133MHz,256KiB,SECC2,BX80526U800256E,,,,,,,http://www.cpu-world.com/sspec/SL/SL458.html,,,,
Intel,Pentium III,SL45R,500MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F500256,,,,,,,http://www.cpu-world.com/sspec/SL/SL45R.html,,,,
Intel,Pentium III,SL45S,533MHz,133MHz,256KiB,370-pin FC-PGA,BX80526F533256E,,,,,,,http://www.cpu-world.com/sspec/SL/SL45S.html,,,,
Intel,Pentium III,SL45T,550MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F550256,,,,,,,http://www.cpu-world.com/sspec/SL/SL45T.html,,,,
Intel,Pentium III,SL45U,600MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F600256,,,,,,,http://www.cpu-world.com/sspec/SL/SL45U.html,,,,
Intel,Pentium III,SL45V,600MHz,133MHz,256KiB,370-pin FC-PGA,BX80526C600256,,,,,,,http://www.cpu-world.com/sspec/SL/SL45V.html,,,,
Intel,Pentium III,SL45W,650MHz,100MHz,256KiB,370-pin FC-PGA,BX80526F650256,B80526PY650256,RB80526PY650256,,,,,http://www.cpu-world.com/sspec/SL/SL45W.html,,,,
